code,description,merge_explanation,original_code,quote,source
Ability to Ask Questions,The user desires the option to ask questions during information sessions for clarity.,,"[""Ability to Ask Questions""]","[{""text"": ""[{\""text\"": \""Perhaps the ability to ask you the question.\"", \""source\"": \""8_R24FG_HF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""8_R24FG_HF_Individual_GNV_initial_codes.csv""}]",8_R24FG_HF_Individual_GNV_initial_codes.csv
Access to Medical Records,The aim to have easy access to personal medical records for better health management.,,"[""Access to Medical Records""]","[{""text"": ""[{\""text\"": \""People's you know, their test results and their medical records.\"", \""source\"": \""9_R24FG_WF_Individual_GNV_initial_codes.csv\""}]"", ""source"": ""9_R24FG_WF_Individual_GNV_initial_codes.csv""}]",9_R24FG_WF_Individual_GNV_initial_codes.csv
Accessibility of Information,"Users want information to be easily accessible and understandable, especially in a health context.",,"[""Accessibility of Information""]","[{""text"": ""[{\""text\"": \""I can't actually read anything on there, except 'Pretend this doc is Qs to ask about,' which is annoying.\"", \""source\"": \""7_R24FG_HF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""7_R24FG_HF_Group_GNV_initial_codes.csv""}]",7_R24FG_HF_Group_GNV_initial_codes.csv
Addressing Practical Difficulties,"Participants express concerns about the logistical challenges of attending clinical trials, especially related to mobility and scheduling.",,"[""Addressing Practical Difficulties""]","[{""text"": ""[{\""text\"": \""Sometimes it's difficult to make appointments depending upon when they are.\"", \""source\"": \""5_R24FG_HM_Group_GNV_initial_codes.csv\""}]"", ""source"": ""5_R24FG_HM_Group_GNV_initial_codes.csv""}]",5_R24FG_HM_Group_GNV_initial_codes.csv
Addressing Privacy Concerns,Users are aware of privacy issues but generally trust their healthcare providers to handle their information responsibly.,,"[""Addressing Privacy Concerns""]","[{""text"": ""[{\""text\"": \""I trust it is as best as I can trust my doctor's office.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv""}]",14_R24FG_WF_Group_GNV_initial_codes.csv
Advocacy for Diverse Representation,The interviewees emphasize the importance of diverse representation in educational and health materials to engage a wider audience.,"These codes were merged due to their shared focus on the necessity of diverse representation in both educational and health contexts, highlighting a common advocacy theme.","[""Desire for Representation"", ""Desire for Diverse Representation""]","[{""text"": ""[{\""text\"": \""It may not hurt to have like, have we discussed transgender and stuff like that.\"", \""source\"": \""14_R24FG_WF_Group_GNV_initial_codes.csv\""}, {\""text\"": \""The left, the ones on the left, they could be more appealing to a variety of backgrounds.\"", \""source\"": \""6_R24FG_HF_Group_Mayo_initial_codes.csv\""}]"", ""source"": ""14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv""}]","14_R24FG_WF_Group_GNV_initial_codes.csv, 6_R24FG_HF_Group_Mayo_initial_codes.csv"
Articulation and Tone,Users prefer clear articulation and an engaging tone from the avatar.,,"[""Articulation and Tone""]","[{""text"": ""[{\""text\"": \""You got to have something behind it, or you\\u2019re going, I\\u2019m not going to listen to it.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Assess Risks and Benefits,Participants want to evaluate the potential risks and benefits before joining a study.,,"[""Assess Risks and Benefits""]","[{""text"": ""[{\""text\"": \""If I was going to be ingesting medication as part of the study, then I would definitely want to be sitting down with a medical professional.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Avoid Misinformation,Participants are cautious about misinformation and seek reliable sources.,,"[""Avoid Misinformation""]","[{""text"": ""[{\""text\"": \""We live in a time where misinformation, disinformation, flat out lies are just everywhere.\"", \""source\"": \""17_R24FG_WM_Group_Villages_initial_codes.csv\""}]"", ""source"": ""17_R24FG_WM_Group_Villages_initial_codes.csv""}]",17_R24FG_WM_Group_Villages_initial_codes.csv
Avoiding Redundant Information,Users want to avoid redundancy in information presented on the website to enhance clarity.,,"[""Avoiding Redundant Information""]","[{""text"": ""[{\""text\"": \""It\\u2019s duplicating what you have at the top anyways, it's just saying that--\"", \""source\"": \""3_R24FG_CF_Group_Villages_initial_codes.csv\""}]"", ""source"": ""3_R24FG_CF_Group_Villages_initial_codes.csv""}]",3_R24FG_CF_Group_Villages_initial_codes.csv
